gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310128,2023-09-10T13:00:00,1,2023,1,PIT,SF,HOME,7,30,37,Acrisure Stadium,0,7,0,0,0,22,37,22:37,15,3,9,3,61,239,3.9,1,10,41,4.1,0,46,31,198,1,2,4.3,6.4,67.4,65.31,15,5,33.3,3,1,33.3,2,1,0,0,6,60,0,0,5,34,7,5,6,254,42.3,2,1,-1,10,10,7,3,0,37,23,37:23,22,8,13,1,66,391,5.9,3,34,188,5.5,1,29,19,203,2,0,7.0,10.7,65.5,108.84,13,6,46.2,1,1,100.0,3,2,0,0,11,85,3,1,3,17,9,8,3,134,44.7,1,2,1,50.0,0,66.7,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,45,24,3,17,5,3,1,39,17,5,34,4,0,0,Sunday,993003784,28,31,18491,-23,0,-1,0.333,0,,,,,,,,,,,,4.0
202310228,2023-09-18T20:15:00,1,2023,2,PIT,CLE,HOME,26,22,48,Acrisure Stadium,7,9,3,7,0,24,32,24:32,9,3,6,0,53,255,4.8,3,21,55,2.6,0,30,15,200,1,1,6.7,13.3,50.0,68.75,14,4,28.6,0,0,0.0,0,0,0,0,5,31,1,1,2,22,11,9,7,320,45.7,2,4,2,3,11,8,0,0,35,28,35:28,20,7,12,1,81,408,5.0,2,35,198,5.7,1,40,22,210,1,1,5.2,9.5,55.0,67.71,16,5,31.2,2,0,0.0,3,2,0,0,8,81,4,3,6,25,9,5,5,238,47.6,4,2,-2,0.0,0,66.7,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,2,2,3,2,58,23,6,25,8,4,3,31,14,2,22,7,1,1,Monday,993003840,28,8,18571,4,1,2,0.286,0,,,,,,,,,7.0,30.0,0.0,5.0
202310325,2023-09-24T20:20:00,1,2023,3,PIT,LV,AWAY,23,18,41,Allegiant Stadium,7,6,10,0,0,30,3,30:03,17,5,10,2,60,333,5.6,2,31,105,3.4,0,28,16,228,2,0,8.1,14.2,57.1,107.44,15,6,40.0,0,0,0.0,1,1,0,0,6,45,0,0,1,7,8,5,6,323,53.8,0,3,3,7,0,0,11,0,29,57,29:57,19,4,12,3,67,362,5.4,2,19,69,3.6,0,44,28,293,2,3,6.7,10.5,63.6,69.6,13,4,30.8,2,1,50.0,2,1,0,0,7,60,1,0,4,31,5,5,5,262,52.4,3,0,-3,100.0,0,50.0,0,2,2,0,0,0,0,0,3,3,1,1,0,2,1,0,0,1,1,41,16,4,31,6,0,0,37,24,1,7,3,0,0,Sunday,993003867,28,25,18467,5,1,3,0.4,0,,,,,,,,,33.0,52.0,1.0,-24.0
202310413,2023-10-01T13:00:00,1,2023,4,PIT,HOU,AWAY,6,30,36,NRG Stadium,0,0,6,0,0,27,25,27:25,12,7,4,1,56,225,4.0,0,25,114,4.6,0,28,18,111,0,1,4.0,6.2,64.3,57.29,14,6,42.9,1,0,0.0,2,0,0,0,2,18,2,0,3,21,6,3,5,238,47.6,1,0,-1,10,6,0,14,0,32,35,32:35,24,9,14,1,69,451,6.5,3,38,139,3.7,0,31,17,312,3,0,10.1,18.4,54.8,121.98,12,6,50.0,1,0,0.0,3,2,0,0,8,63,2,0,0,0,6,7,3,114,38.0,0,1,1,0.0,0,66.7,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,40,31,0,0,4,1,0,36,27,3,21,5,2,0,Sunday,993003891,28,13,18509,-24,0,-1,0.429,0,18.7,23.3,-4.7,275.6666666666667,387.0,1.333,0.34,,56.0,70.0,2.0,7.0
202310528,2023-10-08T13:00:00,1,2023,5,PIT,BAL,HOME,17,10,27,Acrisure Stadium,0,3,0,14,0,29,46,29:46,17,6,11,0,65,289,4.4,1,30,87,2.9,0,32,18,202,1,0,6.3,11.2,56.2,85.68,15,6,40.0,0,0,0.0,2,0,0,0,3,30,1,1,3,22,6,6,6,257,42.8,1,3,2,7,3,0,0,0,30,14,30:14,19,7,11,1,67,335,5.0,1,25,125,5.0,1,38,22,210,0,1,5.5,9.5,57.9,62.39,14,5,35.7,2,0,0.0,3,1,0,0,2,20,4,2,4,26,4,5,4,154,38.5,3,1,-2,0.0,0,33.3,0,0,0,0,2,0,0,0,3,3,1,1,0,0,0,0,0,1,1,43,18,4,26,6,3,2,37,27,3,22,5,1,1,Sunday,993003920,28,3,18352,7,1,2,0.4,0,18.3,23.3,-5.0,271.0,407.0,1.333,0.371,,62.0,100.0,2.0,7.0
202310732,2023-10-22T16:05:00,1,2023,7,PIT,LAR,AWAY,24,17,41,SoFi Stadium,0,3,7,14,0,28,14,28:14,17,8,9,0,56,300,5.4,3,29,86,3.0,3,25,17,214,0,0,8.6,12.6,68.0,94.42,12,4,33.3,1,1,100.0,3,3,0,0,8,76,1,0,2,16,4,4,5,218,43.6,0,1,1,0,9,8,0,0,31,46,31:46,19,8,8,3,62,354,5.7,2,31,135,4.4,1,29,14,219,1,1,7.6,15.6,48.3,70.91,16,9,56.2,0,0,0.0,1,1,0,0,5,40,0,0,2,12,7,4,4,208,52.0,1,0,-1,100.0,0,100.0,0,3,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,3,1,36,25,2,12,2,0,0,32,26,2,16,2,1,0,Sunday,993003977,28,32,18522,7,1,1,0.333,0,15.3,19.3,-4.0,282.3333333333333,382.6666666666667,1.333,0.41,0.6,79.0,110.0,3.0,-10.0
202310828,2023-10-29T13:00:00,1,2023,8,PIT,JAX,HOME,10,20,30,Acrisure Stadium,0,3,7,0,0,25,44,25:44,17,4,12,1,64,261,4.1,1,18,70,3.9,0,43,25,191,1,2,4.4,7.6,58.1,57.41,12,3,25.0,2,0,0.0,1,0,0,0,6,52,2,0,3,20,6,5,6,257,42.8,2,3,1,6,3,8,3,0,34,16,34:16,20,6,11,3,65,377,5.8,1,30,106,3.5,0,32,24,271,1,1,8.5,11.3,75.0,97.27,13,6,46.2,0,0,0.0,3,0,0,0,6,72,2,2,3,21,9,4,3,131,43.7,3,2,-1,0.0,0,0.0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,4,4,53,17,3,21,2,2,2,39,14,3,20,7,1,0,Sunday,993004004,28,15,18579,-10,0,1,0.25,0,15.7,19.0,-3.3,271.3333333333333,380.0,0.667,0.387,0.8,103.0,127.0,4.0,4.0
202310928,2023-11-02T20:15:00,1,2023,9,PIT,TEN,HOME,20,16,36,Acrisure Stadium,7,3,3,7,0,28,51,28:51,22,10,9,3,60,326,5.4,2,30,166,5.5,1,30,19,160,1,0,5.3,8.4,63.3,88.19,12,6,50.0,0,0,0.0,4,2,0,0,10,80,0,0,0,0,10,6,4,200,50.0,0,1,1,3,10,3,0,0,31,9,31:09,23,5,12,6,68,340,5.0,1,25,105,4.2,1,39,22,235,0,1,6.0,10.7,56.4,63.51,13,3,23.1,2,1,50.0,4,1,0,0,7,51,0,0,4,27,2,4,3,171,57.0,1,0,-1,50.0,0,25.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,37,24,4,27,6,0,0,35,29,0,0,3,0,0,Thursday,993004022,28,34,18372,4,1,1,0.5,0,17.0,15.7,1.3,283.3333333333333,355.3333333333333,1.333,0.328,0.6,113.0,147.0,4.0,4.0
202311028,2023-11-12T13:00:00,1,2023,10,PIT,GB,HOME,23,19,42,Acrisure Stadium,7,10,3,3,0,30,33,30:33,21,12,6,3,60,324,5.4,2,36,205,5.7,2,23,14,119,0,0,5.2,8.5,60.9,74.37,13,4,30.8,1,1,100.0,3,2,0,0,3,27,1,0,1,7,5,5,5,224,44.8,0,2,2,7,6,6,0,0,29,27,29:27,17,3,13,1,65,399,6.1,2,24,116,4.8,0,40,21,283,2,2,7.1,13.5,52.5,71.15,16,8,50.0,2,2,100.0,5,1,0,0,5,32,2,0,1,6,4,2,4,179,44.8,2,0,-2,66.7,0,20.0,0,2,2,0,0,0,0,0,3,3,2,1,1,0,0,0,0,2,2,40,19,1,6,7,0,0,45,27,1,7,5,0,0,Sunday,993004058,28,12,18388,4,1,2,0.308,0,18.0,17.7,0.3,295.6666666666667,357.0,1.0,0.361,0.6,133.0,163.0,5.0,-3.0
202311108,2023-11-19T13:00:00,1,2023,11,PIT,CLE,AWAY,10,13,23,Cleveland Browns Stadium,0,0,7,3,0,28,33,28:33,12,8,4,0,57,249,4.4,1,26,172,6.6,1,28,15,77,0,0,2.8,5.1,53.6,59.23,14,3,21.4,1,1,100.0,1,0,0,0,6,46,0,0,3,29,4,5,9,355,39.4,0,1,1,7,3,0,3,0,31,27,31:27,20,7,10,3,73,259,3.5,1,29,96,3.3,1,43,24,163,0,1,3.8,6.8,55.8,54.7,17,4,23.5,1,1,100.0,3,1,0,0,1,10,0,0,1,2,4,9,8,380,47.5,1,0,-1,0.0,0,33.3,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,2,43,28,1,2,6,0,0,36,17,3,29,4,0,0,Sunday,993004087,28,8,18529,-3,0,1,0.214,0,17.7,18.3,-0.7,303.6666666666667,372.0,1.333,0.353,0.8,156.0,182.0,6.0,6.0
